region,division,state,statecode,countycode,fipscode,county,year,county_ranked,mental_health_days,mental_distress_rate,inequality,median_inc,hs_grad,college,unempl,child_poverty,single_parent,severe_housing,food_index,mh_providers,pop_provider_ratio,pop,pct_below18,pct_black,pct_native_am,pct_asian,pct_pacific,pct_hispanic,pct_white,pct_female,pct_rural
West,Mountain,NM,35,25,35025,Lea County,2016,1,3.4,0.106,4.635795812,58994,0.77924972,0.423141702,0.042660307,0.209,0.35060003,0.135714286,7.7,0.001028586,972.2083333,69999,0.303775768,0.035500507,0.018700267,0.006471521,0.001185731,0.556707953,0.385048358,0.484535493,0.210314088
West,Mountain,NM,35,27,35027,Lincoln County,2016,1,3.7,0.115,4.46410779,39995,0.737894737,0.575589092,0.058575549,0.332,0.342979636,0.163877669,6.1,0.005226835,191.3203884,19706,0.185527251,0.005379072,0.037754999,0.005226835,0.001928347,0.314929463,0.636963361,0.50314625,0.531833927
West,Mountain,NM,35,28,35028,Los Alamos County,2016,1,2.8,0.082,3.667320657,108477,0.83,0.832624468,0.040685225,0.046,0.199340245,0.078666667,7.9,0.001922859,520.0588235,17682,0.232722543,0.006447235,0.01266825,0.064359235,0.000904875,0.166553557,0.735663387,0.491969234,0.112423398
West,Mountain,NM,35,53,35053,Socorro County,2016,1,4.2,0.14,4.875274123,32285,0.715030675,0.477878538,0.071639014,0.426,0.667044424,0.136986301,5.9,0.001213172,824.2857143,17310,0.234488735,0.009012132,0.133391103,0.014500289,0.001213172,0.49254766,0.357596765,0.491334489,0.49675361
West,Mountain,NM,35,55,35055,Taos County,2016,1,3.9,0.124,5.525974026,36125,0.778637874,0.626215645,0.096936009,0.299,0.463702783,0.222803738,5.4,0.006800871,147.04,33084,0.190817314,0.004110748,0.074023697,0.009611897,0.001601983,0.561298513,0.360536815,0.509672349,0.584479461
West,Mountain,NM,35,57,35057,Torrance County,2016,1,4,0.127,5.116425509,37311,0.731112717,0.448985344,0.095467695,0.371,0.346013986,0.217040359,6.1,0.001409263,709.5909091,15611,0.222535392,0.014348857,0.039715585,0.005060534,0.003074755,0.412721799,0.531099866,0.476202678,0.987853263
West,Mountain,NM,35,61,35061,Valencia County,2016,1,3.8,0.118,5.22311828,40591,0.645015576,0.496867099,0.076765469,0.301,0.364305714,0.188741119,6.1,0.002097155,476.836478,75817,0.2459211,0.010723189,0.055581202,0.008520517,0.001582759,0.59474788,0.343366264,0.497619267,0.167313142
West,Mountain,NM,35,51,35051,Sierra County,2016,1,3.8,0.118,4.679974243,29036,0.675,0.486542443,0.087815017,0.4,0.473081329,0.149061033,5,0.001677704,596.0526316,11325,0.15214128,0.006357616,0.024988963,0.004944812,0.000353201,0.293598234,0.665165563,0.501810155,0.339506173
West,Mountain,NM,35,43,35043,Sandoval County,2016,1,3.7,0.109,4.293310599,56142,0.79353936,0.661802499,0.07098786,0.163,0.367462894,0.183673469,6.4,0.002725132,366.9546667,137608,0.246213883,0.020434858,0.136576362,0.016249055,0.001991163,0.374011685,0.452626301,0.509418057,0.170582467
West,Mountain,NM,35,45,35045,San Juan County,2016,1,4.1,0.129,4.965921357,47520,0.676910769,0.525954736,0.06283112,0.294,0.419557018,0.190595836,5.5,0.001833825,545.30837,123785,0.272642081,0.007117179,0.387882215,0.005929636,0.000832088,0.195435634,0.405986186,0.505917518,0.336639907
West,Mountain,NM,35,47,35047,San Miguel County,2016,1,4.2,0.135,5.975607494,32964,0.775068681,0.576984127,0.077224897,0.336,0.490768714,0.174765558,6.6,0.009100889,109.8793774,28239,0.199369666,0.013244095,0.030595984,0.010552782,0.001735189,0.772159071,0.189843833,0.505931513,0.468955193
West,Mountain,NM,35,49,35049,Santa Fe County,2016,1,3.5,0.108,5.019844049,52628,0.632017544,0.583807643,0.053740736,0.21,0.395470799,0.215076696,7.1,0.006101347,163.8982301,148164,0.194844902,0.007957399,0.040806134,0.014402959,0.002018034,0.512600902,0.431332847,0.512762884,0.251605743
West,Mountain,NM,35,33,35033,Mora County,2016,1,4.4,0.149,4.817987701,27627,,0.416416416,0.111372181,0.353,0.267921147,0.2,6.7,0.00087108,1148,4592,0.191855401,0.003266551,0.032883275,0.004573171,0.00021777,0.806184669,0.177047038,0.483013937,1
West,Mountain,NM,35,35,35035,Otero County,2016,1,3.9,0.121,4.582998345,41736,0.763989114,0.537502362,0.060963817,0.297,0.408331781,0.151565416,5.1,0.002274054,439.7432432,65082,0.242309702,0.034925171,0.07301558,0.014750622,0.003149873,0.364724501,0.507974555,0.490412096,0.295938681
West,Mountain,NM,35,37,35037,Quay County,2016,1,3.7,0.121,4.555513709,29069,0.543613139,0.489608802,0.061921296,0.36,0.338812301,0.111111111,6.4,0.013998353,71.43697479,8501,0.211857429,0.013292554,0.025291142,0.012233855,0.001293965,0.447241501,0.506058111,0.513233737,0.415661984
West,Mountain,NM,35,39,35039,Rio Arriba County,2016,1,4.1,0.126,5.45605295,34902,0.635707071,0.499841789,0.083211054,0.309,0.512058042,0.161430481,6.1,0.004500088,222.2178771,39777,0.243055032,0.003871584,0.180606883,0.006637001,0.002036353,0.715513991,0.131457878,0.507906579,0.497639517
West,Mountain,NM,35,41,35041,Roosevelt County,2016,1,4,0.127,5.413637665,36108,0.822277992,0.592735869,0.054978997,0.285,0.355223881,0.183673469,6.2,0.002610565,383.0588235,19536,0.247338247,0.01735258,0.021703522,0.016380016,0.00250819,0.399518837,0.539875102,0.499539312,0.364607478
West,Mountain,NV,32,29,32029,Storey County,2016,1,3.4,0.096,3.989732431,55291,,0.736745887,0.08994709,0.137,0.34369287,0.201086957,8.1,0.000255624,3912,3912,0.125,0.016359918,0.01993865,0.021472393,0.004345603,0.077965235,0.846370143,0.48006135,0.926433915
West,Mountain,NV,32,31,32031,Washoe County,2016,1,3.7,0.11,4.833386838,52862,0.73,0.606383726,0.074362234,0.192,0.335304002,0.235931806,7.4,0.002260963,442.2894472,440078,0.224176169,0.022496012,0.021462104,0.058326024,0.007069201,0.235426447,0.641929385,0.4970278,0.042668964
West,Mountain,NV,32,33,32033,White Pine County,2016,1,3.6,0.1,4.300246585,57243,0.775,0.468085106,0.059832551,0.166,0.264416315,0.063218391,6.7,0.003189157,313.5625,10034,0.214670122,0.046641419,0.046641419,0.010663743,0.001594578,0.148893761,0.73529998,0.426549731,0.5333001
West,Mountain,NV,32,510,32510,Carson City,2016,1,3.9,0.111,4.405145604,45639,0.575042373,0.525188723,0.084889102,0.268,0.394811687,0.181818182,7.5,0.00179744,556.3469388,54522,0.205403323,0.019038186,0.027200029,0.023476762,0.002952936,0.22849492,0.6879058,0.48872015,0.048395267
West,Mountain,NV,32,3,32003,Clark County,2016,1,3.6,0.108,4.201359966,51241,0.72,0.555105999,0.078111868,0.231,0.379355763,0.235045005,7.6,0.001511827,661.4512624,2069681,0.237837619,0.105460213,0.011902801,0.098996899,0.00822204,0.303095018,0.452964491,0.499500648,0.013060731
West,Mountain,NV,32,23,32023,Nye County,2016,1,4,0.116,4.222564538,42881,0.7,0.44696176,0.09497549,0.284,0.408711656,0.214500684,5.4,0.000993331,1006.714286,42282,0.17981647,0.023343267,0.019677404,0.017501537,0.005486968,0.14363086,0.774892389,0.495411759,0.352705593
West,Mountain,NV,32,27,32027,Pershing County,2016,1,3.7,0.108,4.329967875,52001,,0.331625524,0.072944809,0.211,0.330420969,0.177184466,7.6,,,6698,0.184831293,0.040011944,0.044192296,0.012391759,0.002687369,0.233203942,0.664825321,0.36667662,1
West,Mountain,NV,32,0,32000,Nevada,2016,,3.4,0.101,4.301621528,51487,0.717692247,0.561672363,0.077531909,0.222,0.365647324,0.225990664,7.5,0.001574091,635.2873126,2839099,0.233604041,0.082264831,0.016390763,0.08323204,0.007446024,0.278269268,0.514961613,0.497448662,0.058045192
West,Mountain,NV,32,9,32009,Esmeralda County,2016,1,4.6,0.141,4.555555556,47180,,0.28372093,0.04494382,0.184,0.385026738,0.174757282,4.9,0,-822,822,0.170316302,0.01946472,0.048661801,0.00486618,0,0.192214112,0.711678832,0.434306569,1
West,Mountain,NV,32,11,32011,Eureka County,2016,1,3.6,0.103,6.161290323,70535,,0.504484305,0.058823529,0.13,0.103448276,0.111267606,5.5,,,2018,0.230426165,0.009910803,0.029236868,0.009910803,0.00099108,0.138255699,0.801783945,0.46531219,1
West,Mountain,NV,32,1,32001,Churchill County,2016,1,3.8,0.112,4.230931814,46840,0.72,0.567089512,0.074342533,0.177,0.343381843,0.111713666,7.1,0.001167202,856.75,23989,0.23281504,0.019050398,0.051815415,0.031306015,0.002709575,0.132769186,0.743257326,0.494393264,0.347147968
West,Mountain,NV,32,21,32021,Mineral County,2016,1,4.2,0.125,4.541131105,40714,,0.41827957,0.111310593,0.324,0.492655367,0.182222222,5.5,0.000888889,1125,4500,0.190888889,0.038888889,0.168666667,0.025333333,0.001555556,0.108444444,0.650666667,0.513333333,0.319153395
West,Mountain,NV,32,5,32005,Douglas County,2016,1,3.5,0.1,4.09966865,60322,0.85,0.695614604,0.078752856,0.165,0.290445717,0.185435631,6.8,0.000946651,1056.355556,47536,0.182324975,0.007531134,0.02280377,0.017186974,0.002419219,0.122286267,0.812794514,0.497959441,0.315530779
West,Mountain,NV,32,7,32007,Elko County,2016,1,3.6,0.103,3.697874802,72648,0.7,0.558550051,0.054800355,0.148,0.242371945,0.104511708,8.4,0.000492742,2029.461539,52766,0.281222757,0.011636281,0.060626161,0.011295152,0.002691127,0.241727628,0.671493007,0.479020581,0.378507927
West,Mountain,NV,32,17,32017,Lincoln County,2016,1,3.8,0.11,4.550732218,45629,0.775,0.53019024,0.077674897,0.195,0.194323144,0.124050633,3.5,0.000385803,2592,5184,0.227044753,0.032986111,0.013695988,0.007716049,0.002893519,0.077353395,0.849537037,0.460262346,1
West,Mountain,NV,32,19,32019,Lyon County,2016,1,3.8,0.113,3.689687473,48576,0.79,0.565023192,0.101142355,0.206,0.301568461,0.184366577,6.2,0.00110062,908.5789474,51789,0.223638224,0.010851725,0.031860048,0.017204426,0.00328255,0.158450636,0.763289502,0.493599027,0.369372836
West,Mountain,NV,32,15,32015,Lander County,2016,1,3.7,0.105,4.324523686,74347,0.725,0.57345576,0.064583333,0.148,0.254662379,0.073232323,8.9,0.000499251,2003,6009,0.267765019,0.006656682,0.055749709,0.009152937,0.000499251,0.239474122,0.69462473,0.489931769,0.390476191
West,Mountain,NV,32,13,32013,Humboldt County,2016,1,3.5,0.1,4.335921325,67423,0.67,0.494838104,0.061322333,0.147,0.296022006,0.115107914,7.9,0.00046299,2159.875,17279,0.272932461,0.008738932,0.049655651,0.009375543,0.002835812,0.260547485,0.664737543,0.477747555,0.37875121
West,Pacific,OR,41,53,41053,Polk County,2016,1,3.9,0.115,4.632726592,52626,0.588642715,0.638952633,0.069543822,0.172,0.247036011,0.190348526,7.2,0.002284512,437.7303371,77916,0.232519637,0.00636583,0.025360645,0.020021562,0.00337543,0.129947636,0.79542071,0.517133836,0.199262629
